"Transaction Type","Date","Account Type","Description","Amount","Reference No.","Credits","Debits"
"DIRECT DEBIT",8/24/18,Checking,"MCDONALD'S F7194  GOFFSTOWN    NH            6801",-8.92," ",,$8.92
"DIRECT DEBIT",8/24/18,Checking,"AMAZON.COM AMZN.COAMZN.COM/BILLWA 6801",-37.99," ",,$37.99
"DIRECT DEBIT",8/24/18,Checking,"AMAZON.COM AMZN.COAMZN.COM/BILLWA            6801",-34.82," ",,$34.82
"DIRECT DEBIT",8/24/18,Checking,"AMZN Mktp US      Amzn.com/billWA            6819",-11.94," ",,$11.94
"DIRECT DEPOSIT",8/24/18,Checking,"Citizens Bank    PAYROLL",547.78," ",$547.78,
"POS DEBIT",8/23/18,Checking,"WINDHAM COUNTR    WINDHAM      NH            6819",-35.68," ",,$35.68
"POS DEBIT",8/23/18,Checking,"WINDHAM COUNTR    WINDHAM      NH            6819",-10.91," ",,$10.91
"POS DEBIT",8/23/18,Checking,"GOOGLE *Duolingo  855-836-3987 CA            6819",-9.99," ",,$9.99
"DIRECT DEBIT",8/23/18,Checking,"TST* UBON THAI 2 GMANCHESTER   NH            6801",-34.41," ",,$34.41
"DIRECT DEBIT",8/22/18,Checking,"GOOGLE *AMdroid Apg.co/helppay#CA            6819",-1.99," ",,$1.99
"DIRECT DEBIT",8/22/18,Checking,"AMAZON.COM AMZN.COAMZN.COM/BILLWA            6801",-12.00," ",,$12.00
"DIRECT DEPOSIT",8/22/18,Checking,"ROBERT HALF INTE PAYROLL",1157.30," ","$1,157.30",
"DIRECT DEBIT",8/21/18,Checking,"AMAZON.COM AMZN.COAMZN.COM/BILLWA            6801",-39.98," ",,$39.98
"DIRECT DEBIT",8/21/18,Checking,"AMZN MKTP US AMZN.AMZN.COM/BILLWA            6801",-76.07," ",,$76.07
"DIRECT DEBIT",8/21/18,Checking,"USPS.COM POSTAL ST800-782-6724 MO            6801",-11.25," ",,$11.25
"DIRECT DEBIT",8/21/18,Checking,"Steamgames.com4259425-9522985  WA            6819",-10.99," ",,$10.99
"POS DEBIT",8/20/18,Checking,"WM SUPERCENTER    SALEM        NH            6819",-52.11," ",,$52.11
"DIRECT DEBIT",8/20/18,Checking,"GOOGLE *BitTorrentg.co/helppay#CA            6819",-2.99," ",,$2.99
"POS DEBIT",8/20/18,Checking,"HANNAFORD #831    MANCHESTER   NH            6801",-48.68," ",,$48.68
"DIRECT DEBIT",8/20/18,Checking,"GOOGLE *MA        g.co/helppay#CA            6801",-4.99," ",,$4.99
"DIRECT DEBIT",8/20/18,Checking,"GOOGLE*CHEESEANDBAG.CO HELPPAY#CA            6819",-1.99," ",,$1.99
"POS DEBIT",8/20/18,Checking,"INSTACART SUBSCRIPHTTPSINSTACARCA            6819",-14.99," ",,$14.99
"DIRECT DEBIT",8/20/18,Checking,"GOOGLE *CheeseandBg.co/helppay#CA            6801",-1.99," ",,$1.99
"DIRECT DEBIT",8/20/18,Checking,"DUNKIN #339732 Q35BEDFORD      NH            6801",-12.81," ",,$12.81
"POS DEBIT",8/20/18,Checking,"WAL-MART #2399    MANCHESTER   NH            6801",-57.68," ",,$57.68
"POS DEBIT",8/20/18,Checking,"NETFLIX COM       LOS GATOS    CA            6819",-10.99," ",,$10.99
"DIRECT DEBIT",8/20/18,Checking,"UBER   TRIP XNNWE HELP.UBER.COMCA            6801",-11.71," ",,$11.71
"DIRECT DEBIT",8/20/18,Checking,"MCGARVEY SALOON   MANCHESTER   NH            6801",-33.00," ",,$33.00
"DIRECT DEBIT",8/20/18,Checking,"8ONE5             HUDSON       NH            6801",-26.80," ",,$26.80
"DIRECT DEBIT",8/20/18,Checking,"STEAMGAMES.COM 425425-8899642  WA            6819",-9.99," ",,$9.99
"DIRECT DEBIT",8/20/18,Checking,"UBER   TRIP YEBII HELP.UBER.COMCA            6801",-13.22," ",,$13.22
CHECK,8/17/18,Checking,,-30.00,143,,$30.00
DEBIT,8/17/18,Checking,"WF HOME MTG      AUTO PAY",-1424.77," ",,"$1,424.77"
"POS DEBIT",8/17/18,Checking,"Z1 XPRESS - GOFFSTGOFFSTOWN    NH            6819",-34.31," ",,$34.31
"DIRECT DEBIT",8/17/18,Checking,"DUNKIN #357416    MANCHESTER   NH            6801",-4.22," ",,$4.22
"DIRECT DEBIT",8/17/18,Checking,"AMZN MKTP US AMZN.AMZN.COM/BILLWA            6801",-7.88," ",,$7.88
"DIRECT DEBIT",8/17/18,Checking,"WALMART.COM       800-966-6546 AR            6801",-99.00," ",,$99.00
"DIRECT DEBIT",8/17/18,Checking,"AMZN MKTP US AMZN.AMZN.COM/BILLWA            6801",-10.76," ",,$10.76
"DIRECT DEPOSIT",8/17/18,Checking,"Citizens Bank    PAYROLL",190.03," ",$190.03,
"DIRECT DEPOSIT",8/17/18,Checking,"ROBERT HALF INTE PAYROLL",1134.13," ","$1,134.13",
CHECK,8/16/18,Checking,,-250.00,142,,$250.00
"POS DEBIT",8/16/18,Checking,"MARKET BASKET 71  BEDFORD      NH            6801",-59.76," ",,$59.76
"DIRECT DEBIT",8/16/18,Checking,"MCDONALD'S F7194  GOFFSTOWN    NH 6801",-12.21," ",,$12.21
"DIRECT DEBIT",8/16/18,Checking,"BETTERHELP  *DR.MU8886889296   CA            6819",-180.00," ",,$180.00
OTHER,8/15/18,Checking,,0.06," ",$0.06,
"POS DEBIT",8/15/18,Checking,"WAL-MART #2399    MANCHESTER   NH            6801",-195.94," ",,$195.94
"POS DEBIT",8/15/18,Checking,"Spotify USA       646-8375380  NY            6819",-9.99," ",,$9.99
"DIRECT DEBIT",8/15/18,Checking,"Audible           Amzn.com/billNJ            6819",-12.24," ",,$12.24
TRANSFER,8/15/18,Checking,"TO SAVINGS       3373239967",-500.00," ",,$500.00
"POS DEBIT",8/15/18,Checking,"HLU*Hulu 61201170-HULU.COM/BILLCA            6801",-7.99," ",,$7.99
"POS DEBIT",8/15/18,Checking,"SCAS WORTHEN I    BEDFORD      NH            6819",-3.28," ",,$3.28
"POS DEBIT",8/15/18,Checking,"SCAS WORTHEN I    BEDFORD      NH            6819",-38.55," ",,$38.55
"DIRECT DEBIT",8/15/18,Checking,"Audible           Amzn.com/billNJ            6819",-14.95," ",,$14.95
"DIRECT DEBIT",8/15/18,Checking,"GRANFANALLYS PIZZA603-8984412  NH            6819",-14.39," ",,$14.39
CREDIT,8/15/18,Checking,"Audible           Amzn.com/billNJ            6819",12.24," ",$12.24,
"DIRECT DEBIT",8/14/18,Checking,"INSTACART         HTTPSINSTACARCA            6819",-88.35," ",,$88.35
"DIRECT DEBIT",8/13/18,Checking,"STARBUCKS 4MA11   LUDLOW       MA            6801",-8.88," ",,$8.88
"POS DEBIT",8/13/18,Checking,"SIX FLAGS NEW ENGLAGAWAM       MA            6801",-15.99," ",,$15.99
"DIRECT DEBIT",8/13/18,Checking,"AROMA JOES COFFEE MANCHESTER   NH            6819",-4.91," ",,$4.91
"DIRECT DEBIT",8/13/18,Checking,"NEW YUKI JAPANESE MANCHESTER   NH            6819",-21.80," ",,$21.80
"POS DEBIT",8/13/18,Checking,"7-ELEVEN          MERRIMACK    NH            6801",-32.99," ",,$32.99
"DIRECT DEBIT",8/13/18,Checking,"DUNKIN #357416    MANCHESTER   NH            6801",-9.54," ",,$9.54
"DIRECT DEBIT",8/13/18,Checking,"SHORTYS MEXICAN ROMANCHESTER   NH            6819",-49.20," ",,$49.20
"DIRECT DEBIT",8/13/18,Checking,"CINEMAGIC & IMAX,H603-644-4629 NH            6801",-32.45," ",,$32.45
"DIRECT DEBIT",8/13/18,Checking,"RED ARROW 24 HOUR MANCHESTER   NH            6819",-14.54," ",,$14.54
"DIRECT DEBIT",8/13/18,Checking,"MCGARVEY SALOON   MANCHESTER   NH            6819",-25.00," ",,$25.00
"DIRECT DEBIT",8/13/18,Checking,"AMZN MKTP US AMZN.AMZN.COM/BILLWA            6801",-9.99," ",,$9.99
"DIRECT DEBIT",8/13/18,Checking,"WASABI STEAK HOUSESALEM        NH            6819",-20.39," ",,$20.39
"POS DEBIT",8/10/18,Checking,"CIRCLE K 07238    SALEM        NH            6819",-36.32," ",,$36.32
"DIRECT DEBIT",8/10/18,Checking,"DUNKIN #339732 Q35BEDFORD      NH            6801",-5.43," ",,$5.43
"DIRECT DEBIT",8/10/18,Checking,"AMZN MKTP US AMZN.AMZN.COM/BILLWA            6801",-32.86," ",,$32.86
"DIRECT DEBIT",8/10/18,Checking,"HAMPTON-METERS    CONCORD      NH            6801",-4.00," ",,$4.00
"DIRECT DEBIT",8/10/18,Checking,"DUNKIN #357416    MANCHESTER   NH            6801",-10.31," ",,$10.31
"DIRECT DEBIT",8/10/18,Checking,"Amazon.com        Amzn.com/billWA            6801",-36.53," ",,$36.53
"DIRECT DEPOSIT",8/10/18,Checking,"Citizens Bank    PAYROLL",190.02," ",$190.02,
"DIRECT DEPOSIT",8/10/18,Checking,"ROBERT HALF INTE PAYROLL",1134.12," ","$1,134.12",
"DIRECT DEBIT",8/9/18,Checking,"PP*FOODA          CHICAGO      IL            6819",-13.00," ",,$13.00
"DIRECT DEBIT",8/9/18,Checking,"DUNKIN #339732 Q35BEDFORD      NH            6801",-4.87," ",,$4.87
"POS DEBIT",8/8/18,Checking,"HANNAFORD #843    Bedford      NH            6801",-90.50," ",,$90.50
"POS DEBIT",8/8/18,Checking,"CIRCLE K 07263    BEDFORD      NH            6801",-28.88," ",,$28.88
"POS DEBIT",8/8/18,Checking,"GOOGLE *YouTube TV855-836-3987 CA            6819",-35.00," ",,$35.00
"DIRECT DEBIT",8/8/18,Checking,"GO OPTIC COM      877-6342020  DE            6819",-111.95," ",,$111.95
"DIRECT DEBIT",8/8/18,Checking,"AMZN MKTP US AMZN.AMZN.COM/BILLWA            6801",-18.98," ",,$18.98
DEBIT,8/7/18,Checking,"COMCAST 8773201  820154096",-85.95," ",,$85.95
"DIRECT DEBIT",8/7/18,Checking,"GOOGLE*PEAKGAMES  G.CO HELPPAY#CA            6801",-1.99," ",,$1.99
"DIRECT DEBIT",8/7/18,Checking,"AMAZON.COM AMZN.COAMZN.COM/BILLWA            6801",-29.90," ",,$29.90
"DIRECT DEBIT",8/7/18,Checking,"GOLDEN ACRES PIZZASTRIPE.COM   CA            6801",-15.57," ",,$15.57
"DIRECT DEBIT",8/7/18,Checking,"INSTACART         HTTPSINSTACARCA            6819",-277.42," ",,$277.42
"DIRECT DEBIT",8/7/18,Checking,"PANDORA*INTERNET RPDORA.COM/BILCA            6819",-54.89," ",,$54.89
